date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-07-31,ncf_panel_2025_2026,1095300.8816037183,1091535.5674233518,1093470.0385155648,1093711.0931027085,0.1,0.1
2025-08-01,ncf_panel_2025_2026,1086560.4392335005,1082825.172058621,1084744.2061751292,1084983.3371595787,0.1,0.1
2025-08-04,ncf_panel_2025_2026,1081816.0312782924,1078097.0739474487,1080007.7287042823,1080245.8155360974,0.1,0.1
2025-08-05,ncf_panel_2025_2026,1094594.8991638832,1090832.01193828,1092765.2361561002,1093006.135370133,0.1,0.1
2025-08-06,ncf_panel_2025_2026,1086482.654469006,1082747.6546946934,1084666.5514312533,1084905.6652967774,0.1,0.1
2025-08-07,ncf_panel_2025_2026,1113076.4571196071,1109250.035870235,1111215.9013834333,1111460.8680317188,0.1,0.1
2025-08-08,ncf_panel_2025_2026,1112657.5825156865,1108832.6012309054,1110797.7269466417,1111042.60140871,0.1,0.1
2025-08-11,ncf_panel_2025_2026,1120219.1901784358,1116368.2143664546,1118346.6950531215,1118593.2336791141,0.1,0.1
2025-08-12,ncf_panel_2025_2026,1121350.5054975979,1117495.640564659,1119476.1193294958,1119722.9069361582,0.1,0.1
2025-08-13,ncf_panel_2025_2026,1129259.2527351868,1125377.199913858,1127371.6467519097,1127620.1749212176,0.1,0.1
2025-08-14,ncf_panel_2025_2026,1126578.000717899,1122705.1652325657,1124694.8765640499,1124942.814641531,0.1,0.1
2025-08-15,ncf_panel_2025_2026,1126823.6747922592,1122949.9947535328,1124940.1399835038,1125188.1321291078,0.1,0.1
2025-08-18,ncf_panel_2025_2026,1131264.5623435234,1127375.6158723936,1129373.6043979703,1129622.573897225,0.1,0.1
2025-08-19,ncf_panel_2025_2026,1127887.0557551177,1124009.720133267,1126001.7434588072,1126249.9696340403,0.1,0.1
2025-08-20,ncf_panel_2025_2026,1098726.5162909813,1094949.4258114435,1096889.9471053737,1097131.7556086048,0.1,0.1
2025-08-21,ncf_panel_2025_2026,1106378.012048309,1102574.6180334045,1104528.6530545703,1104772.1455043606,0.1,0.1
2025-08-22,ncf_panel_2025_2026,1101381.4977312325,1097595.280226022,1099540.4906286097,1099782.8834420205,0.1,0.1
2025-08-25,ncf_panel_2025_2026,1120773.6054892496,1116920.7237645949,1118900.1836346167,1119146.8442767202,0.1,0.1
2025-08-26,ncf_panel_2025_2026,1121119.2577244157,1117265.1877515963,1119245.25809703,1119491.9948105202,0.1,0.1
2025-08-27,ncf_panel_2025_2026,1128120.3427989874,1124242.2052066198,1126234.6405532311,1126482.9180704406,0.1,0.1
2025-08-28,ncf_panel_2025_2026,1118940.3001571074,1115093.720783414,1117069.9427521178,1117316.1999190964,0.1,0.1
2025-08-29,ncf_panel_2025_2026,1119197.3459031687,1115349.8828837038,1117326.5588350287,1117572.8725728155,0.1,0.1
2025-09-01,ncf_panel_2025_2026,1107503.0252202533,1103695.763749273,1105651.78571804,1105895.5257615193,0.1,0.1
2025-09-02,ncf_panel_2025_2026,1107503.0252202533,1103695.763749273,1105651.78571804,1105895.5257615193,0.1,0.1
2025-09-03,ncf_panel_2025_2026,1107691.6401978608,1103883.7303254579,1105840.0854175044,1106083.8669715005,0.1,0.1
2025-09-04,ncf_panel_2025_2026,1114783.2009098255,1110950.9123899129,1112919.7922771333,1113165.1345467905,0.1,0.1
2025-09-05,ncf_panel_2025_2026,1125754.4536899542,1121884.4493109905,1123872.7061308008,1124120.462961474,0.1,0.1
2025-09-08,ncf_panel_2025_2026,1134678.93032463,1130778.2462858676,1132782.2651144126,1133031.9860501701,0.1,0.1
2025-09-09,ncf_panel_2025_2026,1145320.925863693,1141383.6578529973,1143406.4720948208,1143658.5351284293,0.1,0.1
2025-09-10,ncf_panel_2025_2026,1165332.2587745024,1161326.1978349937,1163384.3551918303,1163640.8223336379,0.1,0.1
2025-09-11,ncf_panel_2025_2026,1170470.2833347293,1166446.5594159786,1168513.791320412,1168771.3892422726,0.1,0.1
2025-09-12,ncf_panel_2025_2026,1181279.7324317447,1177218.8488862189,1179305.1719528635,1179565.1488258718,0.1,0.1
2025-09-15,ncf_panel_2025_2026,1179761.9018979003,1175706.2361960998,1177789.878538808,1178049.521366607,0.1,0.1
2025-09-16,ncf_panel_2025_2026,1193336.4841897162,1189234.1531669481,1191341.7703255937,1191604.4006569954,0.1,0.1
2025-09-17,ncf_panel_2025_2026,1185428.266139839,1181353.1211862734,1183446.7712063317,1183707.6610915514,0.1,0.1
2025-09-18,ncf_panel_2025_2026,1197311.4183208281,1193195.422673023,1195310.0601813272,1195573.5653190236,0.1,0.1
2025-09-19,ncf_panel_2025_2026,1198225.0833254282,1194105.9467728217,1196222.197955112,1196485.904172844,0.1,0.1
2025-09-22,ncf_panel_2025_2026,1206488.8207342722,1202341.275944102,1204472.1221672613,1204737.6470741252,0.1,0.1
